DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0.00,1,1.61,0,90000000000,0,0,2,2
2,0.78,2,1.60,0,90000000000,0,0,2,2
3,1.63,3,1.60,0,90000000000,0,0,2,2
4,2.51,4,1.60,0,90000000000,0,0,2,2
5,3.40,5,1.60,0,90000000000,0,0,2,2
6,4.33,6,1.59,0,90000000000,0,0,2,2
7,5.32,7,1.59,0,90000000000,0,0,2,2
8,6.29,8,1.59,0,90000000000,0,0,2,2
9,7.29,9,1.59,0,90000000000,0,0,2,2
10,8.32,10,1.59,0,90000000000,0,0,2,2
11,9.36,11,1.59,0,90000000000,0,0,2,2
12,10.43,12,1.59,0,90000000000,0,0,2,2
13,11.53,13,1.59,0,90000000000,0,0,2,2
14,12.63,14,1.58,0,90000000000,0,0,2,2
15,13.74,15,1.58,0,90000000000,0,0,2,2
16,15.38,16,1.58,0,90000000000,0,0,2,2
17,16.59,17,1.58,0,90000000000,0,0,2,2
18,17.77,18,1.58,0,90000000000,0,0,2,2
19,19.41,19,1.58,0,90000000000,0,0,2,2
20,20.58,20,1.58,0,90000000000,0,0,2,2
21,21.82,21,1.58,0,90000000000,0,0,2,2
22,23.03,22,1.58,0,90000000000,0,0,2,2
23,24.21,23,1.58,0,90000000000,0,0,2,2
24,25.98,24,1.58,0,90000000000,0,0,2,2
25,27.57,25,1.58,0,90000000000,0,0,2,2
26,28.74,26,1.58,0,90000000000,0,0,2,2
27,29.95,27,1.58,0,90000000000,0,0,2,2
28,31.10,28,1.58,0,90000000000,0,0,2,2
29,32.68,29,1.58,0,90000000000,0,0,2,2
30,33.81,30,1.58,0,90000000000,0,0,2,2
31,35.05,31,1.58,0,90000000000,0,0,2,2
32,36.17,32,1.58,0,90000000000,0,0,2,2
33,37.39,33,1.58,0,90000000000,0,0,2,2
34,38.50,34,1.58,0,90000000000,0,0,2,2
35,39.56,35,1.58,0,90000000000,0,0,2,2
36,40.61,36,1.58,0,90000000000,0,0,2,2
37,41.70,37,1.58,0,90000000000,0,0,2,2
38,42.77,38,1.58,0,90000000000,0,0,2,2
39,43.74,39,1.58,0,90000000000,0,0,2,2
40,44.69,40,1.58,0,90000000000,0,0,2,2
41,45.61,41,1.58,0,90000000000,0,0,2,2
42,46.49,42,1.58,0,90000000000,0,0,2,2
43,47.35,43,1.58,0,90000000000,0,0,2,2
44,48.17,44,1.58,0,90000000000,0,0,2,2
45,48.95,45,1.58,0,90000000000,0,0,2,2
46,49.70,46,1.58,0,90000000000,0,0,2,2
47,50.41,47,1.58,0,90000000000,0,0,2,2
48,51.08,48,1.58,0,90000000000,0,0,2,2
49,51.70,49,1.58,0,90000000000,0,0,2,2
50,52.29,50,1.58,0,90000000000,0,0,2,2
51,0.00,51,1.60,0,90000000000,0,0,2,2
52,0.80,52,1.59,0,90000000000,0,0,2,2
53,1.63,53,1.60,0,90000000000,0,0,2,2
54,2.47,54,1.59,0,90000000000,0,0,2,2
55,3.32,55,1.59,0,90000000000,0,0,2,2
56,4.19,56,1.59,0,90000000000,0,0,2,2
57,5.07,57,1.59,0,90000000000,0,0,2,2
58,5.96,58,1.59,0,90000000000,0,0,2,2
59,6.87,59,1.59,0,90000000000,0,0,2,2
60,7.79,60,1.59,0,90000000000,0,0,2,2
61,8.73,61,1.59,0,90000000000,0,0,2,2
62,9.67,62,1.59,0,90000000000,0,0,2,2
63,10.63,63,1.59,0,90000000000,0,0,2,2
64,11.60,64,1.59,0,90000000000,0,0,2,2
65,12.58,65,1.59,0,90000000000,0,0,2,2
66,13.57,66,1.59,0,90000000000,0,0,2,2
67,14.57,67,1.59,0,90000000000,0,0,2,2
68,15.58,68,1.59,0,90000000000,0,0,2,2
69,16.60,69,1.59,0,90000000000,0,0,2,2
70,17.62,70,1.59,0,90000000000,0,0,2,2
71,18.66,71,1.59,0,90000000000,0,0,2,2
72,19.70,72,1.59,0,90000000000,0,0,2,2
73,20.75,73,1.59,0,90000000000,0,0,2,2
74,21.81,74,1.59,0,90000000000,0,0,2,2
75,22.87,75,1.59,0,90000000000,0,0,2,2
76,23.93,76,1.59,0,90000000000,0,0,2,2
77,25.01,77,1.59,0,90000000000,0,0,2,2
78,26.08,78,1.59,0,90000000000,0,0,2,2
79,27.17,79,1.59,0,90000000000,0,0,2,2
80,28.25,80,1.59,0,90000000000,0,0,2,2
81,29.34,81,1.59,0,90000000000,0,0,2,2
82,30.43,82,1.59,0,90000000000,0,0,2,2
83,31.52,83,1.59,0,90000000000,0,0,2,2
84,32.62,84,1.59,0,90000000000,0,0,2,2
85,33.73,85,1.59,0,90000000000,0,0,2,2
86,34.83,86,1.59,0,90000000000,0,0,2,2
87,35.93,87,1.59,0,90000000000,0,0,2,2
88,37.04,88,1.59,0,90000000000,0,0,2,2
89,38.15,89,1.59,0,90000000000,0,0,2,2
90,39.26,90,1.59,0,90000000000,0,0,2,2
91,40.37,91,1.59,0,90000000000,0,0,2,2
92,41.47,92,1.59,0,90000000000,0,0,2,2
93,42.58,93,1.59,0,90000000000,0,0,2,2
94,43.67,94,1.59,0,90000000000,0,0,2,2
95,44.77,95,1.59,0,90000000000,0,0,2,2
96,45.85,96,1.58,0,90000000000,0,0,2,2
97,46.93,97,1.58,0,90000000000,0,0,2,2
98,48.00,98,1.58,0,90000000000,0,0,2,2
99,49.08,99,1.58,0,90000000000,0,0,2,2
100,0.00,100,1.59,0,90000000000,0,0,2,2
101,1.00,101,1.59,0,90000000000,0,0,2,2
102,2.02,102,1.59,0,90000000000,0,0,2,2
103,3.04,103,1.59,0,90000000000,0,0,2,2
104,4.08,104,1.59,0,90000000000,0,0,2,2
105,5.12,105,1.59,0,90000000000,0,0,2,2
106,6.17,106,1.59,0,90000000000,0,0,2,2
107,7.23,107,1.59,0,90000000000,0,0,2,2
108,8.29,108,1.59,0,90000000000,0,0,2,2
109,9.36,109,1.59,0,90000000000,0,0,2,2
110,10.44,110,1.59,0,90000000000,0,0,2,2
111,11.52,111,1.58,0,90000000000,0,0,2,2
112,12.60,112,1.58,0,90000000000,0,0,2,2
113,13.69,113,1.58,0,90000000000,0,0,2,2
114,14.78,114,1.58,0,90000000000,0,0,2,2
115,15.87,115,1.58,0,90000000000,0,0,2,2
116,16.96,116,1.58,0,90000000000,0,0,2,2
117,18.06,117,1.58,0,90000000000,0,0,2,2
118,19.15,118,1.58,0,90000000000,0,0,2,2
119,20.24,119,1.58,0,90000000000,0,0,2,2
120,21.33,120,1.58,0,90000000000,0,0,2,2
121,22.42,121,1.58,0,90000000000,0,0,2,2
122,23.50,122,1.58,0,90000000000,0,0,2,2
123,24.58,123,1.58,0,90000000000,0,0,2,2
124,25.65,124,1.58,0,90000000000,0,0,2,2
125,26.73,125,1.58,0,90000000000,0,0,2,2
126,27.79,126,1.58,0,90000000000,0,0,2,2
127,28.85,127,1.58,0,90000000000,0,0,2,2
128,29.90,128,1.58,0,90000000000,0,0,2,2
129,30.94,129,1.58,0,90000000000,0,0,2,2
130,31.98,130,1.58,0,90000000000,0,0,2,2
131,33.00,131,1.58,0,90000000000,0,0,2,2
132,34.02,132,1.58,0,90000000000,0,0,2,2
133,35.02,133,1.58,0,90000000000,0,0,2,2
134,36.01,134,1.58,0,90000000000,0,0,2,2
135,36.99,135,1.58,0,90000000000,0,0,2,2
136,37.96,136,1.58,0,90000000000,0,0,2,2
137,38.91,137,1.58,0,90000000000,0,0,2,2
138,39.85,138,1.58,0,90000000000,0,0,2,2
139,40.78,139,1.58,0,90000000000,0,0,2,2
140,41.69,140,1.58,0,90000000000,0,0,2,2
141,42.58,141,1.58,0,90000000000,0,0,2,2
142,43.46,142,1.58,0,90000000000,0,0,2,2
143,44.32,143,1.58,0,90000000000,0,0,2,2
144,45.16,144,1.58,0,90000000000,0,0,2,2
145,45.98,145,1.58,0,90000000000,0,0,2,2
146,46.78,146,1.58,0,90000000000,0,0,2,2
147,47.56,147,1.58,0,90000000000,0,0,2,2
148,48.32,148,1.58,0,90000000000,0,0,2,2
149,49.06,149,1.58,0,90000000000,0,0,2,2
150,0.00,150,-1.54,0,90000000000,0,0,2,2
151,0.79,151,-1.54,0,90000000000,0,0,2,2
152,1.58,152,-1.54,0,90000000000,0,0,2,2
153,2.38,153,-1.55,0,90000000000,0,0,2,2
154,3.19,154,-1.55,0,90000000000,0,0,2,2
155,4.00,155,-1.55,0,90000000000,0,0,2,2
156,4.83,156,-1.55,0,90000000000,0,0,2,2
157,5.66,157,-1.55,0,90000000000,0,0,2,2
158,6.50,158,-1.55,0,90000000000,0,0,2,2
159,7.34,159,-1.55,0,90000000000,0,0,2,2
160,8.20,160,-1.55,0,90000000000,0,0,2,2
161,9.07,161,-1.55,0,90000000000,0,0,2,2
162,9.94,162,-1.55,0,90000000000,0,0,2,2
163,10.82,163,-1.55,0,90000000000,0,0,2,2
164,11.71,164,-1.55,0,90000000000,0,0,2,2
165,12.62,165,-1.56,0,90000000000,0,0,2,2
166,13.53,166,-1.56,0,90000000000,0,0,2,2
167,14.45,167,-1.56,0,90000000000,0,0,2,2
168,15.38,168,-1.56,0,90000000000,0,0,2,2
169,16.32,169,-1.56,0,90000000000,0,0,2,2
170,17.28,170,-1.56,0,90000000000,0,0,2,2
171,18.24,171,-1.56,0,90000000000,0,0,2,2
172,19.21,172,-1.56,0,90000000000,0,0,2,2
173,20.20,173,-1.56,0,90000000000,0,0,2,2
174,21.20,174,-1.56,0,90000000000,0,0,2,2
175,22.21,175,-1.56,0,90000000000,0,0,2,2
176,23.23,176,-1.56,0,90000000000,0,0,2,2
177,24.26,177,-1.56,0,90000000000,0,0,2,2
178,25.31,178,-1.56,0,90000000000,0,0,2,2
179,26.36,179,-1.56,0,90000000000,0,0,2,2
180,27.43,180,-1.56,0,90000000000,0,0,2,2
181,28.51,181,-1.56,0,90000000000,0,0,2,2
182,29.61,182,-1.56,0,90000000000,0,0,2,2
183,30.71,183,-1.56,0,90000000000,0,0,2,2
184,31.83,184,-1.56,0,90000000000,0,0,2,2
185,32.97,185,-1.56,0,90000000000,0,0,2,2
186,34.11,186,-1.56,0,90000000000,0,0,2,2
187,35.27,187,-1.56,0,90000000000,0,0,2,2
188,36.45,188,-1.56,0,90000000000,0,0,2,2
189,37.64,189,-1.56,0,90000000000,0,0,2,2
190,38.85,190,-1.56,0,90000000000,0,0,2,2
191,40.07,191,-1.56,0,90000000000,0,0,2,2
192,41.30,192,-1.56,0,90000000000,0,0,2,2
193,42.55,193,-1.56,0,90000000000,0,0,2,2
194,43.82,194,-1.56,0,90000000000,0,0,2,2
195,45.10,195,-1.56,0,90000000000,0,0,2,2
196,46.39,196,-1.56,0,90000000000,0,0,2,2
197,47.70,197,-1.56,0,90000000000,0,0,2,2
198,49.03,198,-1.56,0,90000000000,0,0,2,2
199,0.00,199,-1.55,0,90000000000,0,0,2,2
200,0.90,200,-1.55,0,90000000000,0,0,2,2
201,1.81,201,-1.55,0,90000000000,0,0,2,2
202,2.73,202,-1.54,0,90000000000,0,0,2,2
203,3.65,203,-1.54,0,90000000000,0,0,2,2
204,4.57,204,-1.54,0,90000000000,0,0,2,2
205,5.50,205,-1.54,0,90000000000,0,0,2,2
206,6.43,206,-1.54,0,90000000000,0,0,2,2
207,7.38,207,-1.54,0,90000000000,0,0,2,2
208,8.33,208,-1.54,0,90000000000,0,0,2,2
209,9.28,209,-1.54,0,90000000000,0,0,2,2
210,10.23,210,-1.55,0,90000000000,0,0,2,2
211,11.26,211,-1.54,0,90000000000,0,0,2,2
212,12.22,212,-1.55,0,90000000000,0,0,2,2
213,13.29,213,-1.54,0,90000000000,0,0,2,2
214,14.27,214,-1.54,0,90000000000,0,0,2,2
215,15.26,215,-1.55,0,90000000000,0,0,2,2
216,16.75,216,-1.54,0,90000000000,0,0,2,2
217,17.75,217,-1.55,0,90000000000,0,0,2,2
218,18.82,218,-1.55,0,90000000000,0,0,2,2
219,19.82,219,-1.55,0,90000000000,0,0,2,2
220,21.07,220,-1.55,0,90000000000,0,0,2,2
221,22.08,221,-1.55,0,90000000000,0,0,2,2
222,23.10,222,-1.55,0,90000000000,0,0,2,2
223,24.48,223,-1.55,0,90000000000,0,0,2,2
224,25.60,224,-1.55,0,90000000000,0,0,2,2
225,26.69,225,-1.55,0,90000000000,0,0,2,2
226,27.72,226,-1.55,0,90000000000,0,0,2,2
227,29.07,227,-1.56,0,90000000000,0,0,2,2
228,30.83,228,-1.55,0,90000000000,0,0,2,2
229,32.17,229,-1.56,0,90000000000,0,0,2,2
230,33.57,230,-1.55,0,90000000000,0,0,2,2
231,34.81,231,-1.56,0,90000000000,0,0,2,2
232,36.34,232,-1.55,0,90000000000,0,0,2,2
233,37.44,233,-1.56,0,90000000000,0,0,2,2
234,38.81,234,-1.56,0,90000000000,0,0,2,2
235,39.98,235,-1.56,0,90000000000,0,0,2,2
236,41.05,236,-1.56,0,90000000000,0,0,2,2
237,42.13,237,-1.56,0,90000000000,0,0,2,2
238,43.21,238,-1.56,0,90000000000,0,0,2,2
239,44.29,239,-1.56,0,90000000000,0,0,2,2
240,45.37,240,-1.56,0,90000000000,0,0,2,2
241,46.47,241,-1.56,0,90000000000,0,0,2,2
242,47.56,242,-1.56,0,90000000000,0,0,2,2
243,48.65,243,-1.56,0,90000000000,0,0,2,2
244,49.77,244,-1.57,0,90000000000,0,0,2,2
245,50.90,245,-1.57,0,90000000000,0,0,2,2
246,52.06,246,-1.57,0,90000000000,0,0,2,2
247,53.17,247,-1.57,0,90000000000,0,0,2,2
248,0.00,248,-1.54,0,90000000000,0,0,2,2
249,1.00,249,-1.54,0,90000000000,0,0,2,2
250,2.00,250,-1.54,0,90000000000,0,0,2,2
251,3.00,251,-1.54,0,90000000000,0,0,2,2
252,4.01,252,-1.54,0,90000000000,0,0,2,2
253,5.05,253,-1.54,0,90000000000,0,0,2,2
254,6.06,254,-1.54,0,90000000000,0,0,2,2
255,7.10,255,-1.54,0,90000000000,0,0,2,2
256,8.13,256,-1.54,0,90000000000,0,0,2,2
257,9.16,257,-1.54,0,90000000000,0,0,2,2
258,10.19,258,-1.54,0,90000000000,0,0,2,2
259,11.24,259,-1.54,0,90000000000,0,0,2,2
260,12.28,260,-1.54,0,90000000000,0,0,2,2
261,13.31,261,-1.54,0,90000000000,0,0,2,2
262,14.34,262,-1.55,0,90000000000,0,0,2,2
263,15.41,263,-1.55,0,90000000000,0,0,2,2
264,16.44,264,-1.55,0,90000000000,0,0,2,2
265,17.48,265,-1.55,0,90000000000,0,0,2,2
266,18.51,266,-1.55,0,90000000000,0,0,2,2
267,19.55,267,-1.55,0,90000000000,0,0,2,2
268,20.58,268,-1.55,0,90000000000,0,0,2,2
269,21.62,269,-1.55,0,90000000000,0,0,2,2
270,22.65,270,-1.55,0,90000000000,0,0,2,2
271,23.68,271,-1.55,0,90000000000,0,0,2,2
272,24.72,272,-1.55,0,90000000000,0,0,2,2
273,25.75,273,-1.55,0,90000000000,0,0,2,2
274,26.78,274,-1.55,0,90000000000,0,0,2,2
275,27.81,275,-1.55,0,90000000000,0,0,2,2
276,28.84,276,-1.55,0,90000000000,0,0,2,2
277,29.88,277,-1.55,0,90000000000,0,0,2,2
278,30.90,278,-1.55,0,90000000000,0,0,2,2
279,31.92,279,-1.55,0,90000000000,0,0,2,2
280,32.94,280,-1.56,0,90000000000,0,0,2,2
281,33.96,281,-1.56,0,90000000000,0,0,2,2
282,34.98,282,-1.56,0,90000000000,0,0,2,2
283,35.99,283,-1.56,0,90000000000,0,0,2,2
284,37.01,284,-1.56,0,90000000000,0,0,2,2
285,38.02,285,-1.56,0,90000000000,0,0,2,2
286,39.03,286,-1.56,0,90000000000,0,0,2,2
287,40.03,287,-1.56,0,90000000000,0,0,2,2
288,41.02,288,-1.56,0,90000000000,0,0,2,2
289,42.01,289,-1.56,0,90000000000,0,0,2,2
290,43.00,290,-1.56,0,90000000000,0,0,2,2
291,43.99,291,-1.56,0,90000000000,0,0,2,2
292,44.97,292,-1.56,0,90000000000,0,0,2,2
293,45.94,293,-1.56,0,90000000000,0,0,2,2
294,46.91,294,-1.56,0,90000000000,0,0,2,2
295,47.87,295,-1.57,0,90000000000,0,0,2,2
296,48.84,296,-1.57,0,90000000000,0,0,2,2
297,0.00,297,3.14,0,90000000000,0,0,2,2
298,1.13,298,-3.07,0,90000000000,0,0,2,2
299,2.24,299,-3.07,0,90000000000,0,0,2,2
300,3.35,300,-3.12,0,90000000000,0,0,2,2
301,4.44,301,-3.03,0,90000000000,0,0,2,2
302,5.52,302,-3.09,0,90000000000,0,0,2,2
303,6.58,303,-3.12,0,90000000000,0,0,2,2
304,7.61,304,-3.10,0,90000000000,0,0,2,2
305,8.62,305,-3.11,0,90000000000,0,0,2,2
306,9.61,306,-3.11,0,90000000000,0,0,2,2
307,10.57,307,-3.11,0,90000000000,0,0,2,2
308,11.50,308,-3.11,0,90000000000,0,0,2,2
309,0.00,309,3.10,0,90000000000,0,0,2,2
310,0.76,310,3.03,0,90000000000,0,0,2,2
311,1.66,311,3.01,0,90000000000,0,0,2,2
312,2.67,312,3.07,0,90000000000,0,0,2,2
313,3.76,313,3.12,0,90000000000,0,0,2,2
314,4.89,314,-3.13,0,90000000000,0,0,2,2
315,6.06,315,-3.13,0,90000000000,0,0,2,2
316,7.23,316,-3.11,0,90000000000,0,0,2,2
317,8.37,317,-3.12,0,90000000000,0,0,2,2
318,9.46,318,-3.11,0,90000000000,0,0,2,2
319,10.47,319,-3.10,0,90000000000,0,0,2,2
320,11.37,320,-3.10,0,90000000000,0,0,2,2
321,0.00,321,0.01,0,90000000000,0,0,2,2
322,1.08,322,0.04,0,90000000000,0,0,2,2
323,2.16,323,0.02,0,90000000000,0,0,2,2
324,3.22,324,0.03,0,90000000000,0,0,2,2
325,4.27,325,0.02,0,90000000000,0,0,2,2
326,5.30,326,0.03,0,90000000000,0,0,2,2
327,6.31,327,0.02,0,90000000000,0,0,2,2
328,7.30,328,0.02,0,90000000000,0,0,2,2
329,8.27,329,0.02,0,90000000000,0,0,2,2
330,9.21,330,0.05,0,90000000000,0,0,2,2
331,10.12,331,0.12,0,90000000000,0,0,2,2
332,11.01,332,0.12,0,90000000000,0,0,2,2
333,0.00,333,-0.06,0,90000000000,0,0,2,2
334,0.79,334,-0.05,0,90000000000,0,0,2,2
335,1.64,335,-0.02,0,90000000000,0,0,2,2
336,2.54,336,-0.07,0,90000000000,0,0,2,2
337,3.49,337,-0.06,0,90000000000,0,0,2,2
338,4.48,338,-0.04,0,90000000000,0,0,2,2
339,5.50,339,-0.06,0,90000000000,0,0,2,2
340,6.56,340,0.02,0,90000000000,0,0,2,2
341,7.64,341,0.08,0,90000000000,0,0,2,2
342,8.75,342,0.05,0,90000000000,0,0,2,2
343,9.88,343,0.04,0,90000000000,0,0,2,2
344,11.02,344,0.04,0,90000000000,0,0,2,2
345,0.00,345,-3.06,0,90000000000,0,0,2,2
346,0.82,346,-3.09,0,90000000000,0,0,2,2
347,1.70,347,-3.09,0,90000000000,0,0,2,2
348,2.63,348,-3.11,0,90000000000,0,0,2,2
349,3.61,349,-3.02,0,90000000000,0,0,2,2
350,4.64,350,-3.09,0,90000000000,0,0,2,2
351,5.69,351,-3.12,0,90000000000,0,0,2,2
352,6.77,352,-3.05,0,90000000000,0,0,2,2
353,7.87,353,-3.12,0,90000000000,0,0,2,2
354,8.97,354,-3.09,0,90000000000,0,0,2,2
355,10.08,355,-3.10,0,90000000000,0,0,2,2
356,11.18,356,-3.10,0,90000000000,0,0,2,2
357,0.00,357,-3.09,0,90000000000,0,0,2,2
358,0.95,358,-3.06,0,90000000000,0,0,2,2
359,1.95,359,-3.10,0,90000000000,0,0,2,2
360,2.97,360,-3.10,0,90000000000,0,0,2,2
361,4.00,361,-3.10,0,90000000000,0,0,2,2
362,5.05,362,-3.10,0,90000000000,0,0,2,2
363,6.09,363,-3.10,0,90000000000,0,0,2,2
364,7.13,364,-3.10,0,90000000000,0,0,2,2
365,8.15,365,-3.10,0,90000000000,0,0,2,2
366,9.14,366,-3.09,0,90000000000,0,0,2,2
367,10.10,367,-3.09,0,90000000000,0,0,2,2
368,11.01,368,-3.09,0,90000000000,0,0,2,2
369,0.00,369,0.06,0,90000000000,0,0,2,2
370,0.91,370,0.04,0,90000000000,0,0,2,2
371,1.87,371,0.03,0,90000000000,0,0,2,2
372,2.86,372,0.02,0,90000000000,0,0,2,2
373,3.88,373,0.06,0,90000000000,0,0,2,2
374,4.94,374,0.03,0,90000000000,0,0,2,2
375,6.03,375,0.06,0,90000000000,0,0,2,2
376,7.13,376,0.02,0,90000000000,0,0,2,2
377,8.25,377,0.03,0,90000000000,0,0,2,2
378,9.39,378,-0.07,0,90000000000,0,0,2,2
379,10.53,379,-0.03,0,90000000000,0,0,2,2
380,11.68,380,-0.03,0,90000000000,0,0,2,2
381,0.00,381,0.05,0,90000000000,0,0,2,2
382,0.83,382,0.04,0,90000000000,0,0,2,2
383,1.73,383,0.05,0,90000000000,0,0,2,2
384,2.70,384,0.03,0,90000000000,0,0,2,2
385,3.72,385,0.03,0,90000000000,0,0,2,2
386,4.78,386,0.05,0,90000000000,0,0,2,2
387,5.89,387,0.06,0,90000000000,0,0,2,2
388,7.02,388,0.05,0,90000000000,0,0,2,2
389,8.17,389,0.07,0,90000000000,0,0,2,2
390,9.33,390,0.02,0,90000000000,0,0,2,2
391,10.49,391,-0.04,0,90000000000,0,0,2,2
392,11.64,392,-0.04,0,90000000000,0,0,2,2
393,0.00,393,2.82,0,90000000000,0,0,2,2
394,0.93,394,2.20,0,90000000000,0,0,2,2
395,2.12,395,2.20,0,90000000000,0,0,2,2
396,0.00,396,-3.09,0,90000000000,0,0,2,2
397,1.20,397,-3.11,0,90000000000,0,0,2,2
398,2.29,398,-3.10,0,90000000000,0,0,2,2
399,3.30,399,-3.09,0,90000000000,0,0,2,2
400,4.27,400,-3.07,0,90000000000,0,0,2,2
401,5.25,401,-3.07,0,90000000000,0,0,2,2
402,0.00,402,2.76,0,90000000000,0,0,2,2
403,1.05,403,2.17,0,90000000000,0,0,2,2
404,2.11,404,2.17,0,90000000000,0,0,2,2
405,0.00,405,1.32,0,90000000000,0,0,2,2
406,1.15,406,0.36,0,90000000000,0,0,2,2
407,2.34,407,0.36,0,90000000000,0,0,2,2
408,0.00,408,-0.49,0,90000000000,0,0,2,2
409,1.19,409,-0.95,0,90000000000,0,0,2,2
410,2.25,410,-0.95,0,90000000000,0,0,2,2
411,0.00,411,0.06,0,90000000000,0,0,2,2
412,1.25,412,0.05,0,90000000000,0,0,2,2
413,2.50,413,0.05,0,90000000000,0,0,2,2
414,3.70,414,0.05,0,90000000000,0,0,2,2
415,4.78,415,0.10,0,90000000000,0,0,2,2
416,5.69,416,0.10,0,90000000000,0,0,2,2
417,0.00,417,-0.47,0,90000000000,0,0,2,2
418,1.19,418,-1.16,0,90000000000,0,0,2,2
419,2.42,419,-1.16,0,90000000000,0,0,2,2
420,0.00,420,-2.07,0,90000000000,0,0,2,2
421,1.09,421,-2.52,0,90000000000,0,0,2,2
422,2.19,422,-2.52,0,90000000000,0,0,2,2
423,0.00,423,-1.45,0,90000000000,0,0,2,2
424,1.33,424,-1.25,0,90000000000,0,0,2,2
425,2.40,425,-0.85,0,90000000000,0,0,2,2
426,3.41,426,-0.43,0,90000000000,0,0,2,2
427,4.68,427,-0.19,0,90000000000,0,0,2,2
428,6.51,428,-0.19,0,90000000000,0,0,2,2
429,0.00,429,0.06,0,90000000000,0,0,2,2
430,1.31,430,0.04,0,90000000000,0,0,2,2
431,2.53,431,0.04,0,90000000000,0,0,2,2
432,3.71,432,0.06,0,90000000000,0,0,2,2
433,4.92,433,0.06,0,90000000000,0,0,2,2
434,0.00,434,0.11,0,90000000000,0,0,2,2
435,1.80,435,0.42,0,90000000000,0,0,2,2
436,3.02,436,0.95,0,90000000000,0,0,2,2
437,4.03,437,1.39,0,90000000000,0,0,2,2
438,5.17,438,1.60,0,90000000000,0,0,2,2
439,6.62,439,1.60,0,90000000000,0,0,2,2
440,0.00,440,0.19,0,90000000000,0,0,2,2
441,1.36,441,0.39,0,90000000000,0,0,2,2
442,2.55,442,0.72,0,90000000000,0,0,2,2
443,3.63,443,1.13,0,90000000000,0,0,2,2
444,4.76,444,1.50,0,90000000000,0,0,2,2
445,6.14,445,1.50,0,90000000000,0,0,2,2
446,0.00,446,1.68,0,90000000000,0,0,2,2
447,1.61,447,2.03,0,90000000000,0,0,2,2
448,3.00,448,2.38,0,90000000000,0,0,2,2
449,4.27,449,2.72,0,90000000000,0,0,2,2
450,5.49,450,3.02,0,90000000000,0,0,2,2
451,6.70,451,3.02,0,90000000000,0,0,2,2
452,0.00,452,-3.09,0,90000000000,0,0,2,2
453,0.92,453,3.08,0,90000000000,0,0,2,2
454,1.99,454,3.06,0,90000000000,0,0,2,2
455,3.16,455,3.10,0,90000000000,0,0,2,2
456,4.38,456,3.12,0,90000000000,0,0,2,2
457,5.59,457,3.12,0,90000000000,0,0,2,2
458,0.00,458,3.10,0,90000000000,0,0,2,2
459,1.45,459,-2.93,0,90000000000,0,0,2,2
460,2.75,460,-2.49,0,90000000000,0,0,2,2
461,3.93,461,-1.92,0,90000000000,0,0,2,2
462,5.27,462,-1.48,0,90000000000,0,0,2,2
463,7.20,463,-1.48,0,90000000000,0,0,2,2
464,0.00,464,-3.08,0,90000000000,0,0,2,2
465,1.52,465,-2.78,0,90000000000,0,0,2,2
466,2.79,466,-2.37,0,90000000000,0,0,2,2
467,3.96,467,-1.94,0,90000000000,0,0,2,2
468,5.22,468,-1.59,0,90000000000,0,0,2,2
469,6.74,469,-1.59,0,90000000000,0,0,2,2
470,0.00,470,1.12,0,90000000000,0,0,2,2
471,1.15,471,0.44,0,90000000000,0,0,2,2
472,2.15,472,0.44,0,90000000000,0,0,2,2
473,0.00,473,1.63,0,90000000000,0,0,2,2
474,1.90,474,1.96,0,90000000000,0,0,2,2
475,3.23,475,2.48,0,90000000000,0,0,2,2
476,4.33,476,2.94,0,90000000000,0,0,2,2
477,5.58,477,-3.10,0,90000000000,0,0,2,2
478,7.14,478,-3.10,0,90000000000,0,0,2,2
479,0.00,479,-1.96,0,90000000000,0,0,2,2
480,1.07,480,-2.60,0,90000000000,0,0,2,2
481,2.27,481,-2.60,0,90000000000,0,0,2,2
482,0.00,482,-1.50,0,90000000000,0,0,2,2
483,1.68,483,-1.24,0,90000000000,0,0,2,2
484,2.95,484,-0.82,0,90000000000,0,0,2,2
485,3.98,485,-0.34,0,90000000000,0,0,2,2
486,5.03,486,0.01,0,90000000000,0,0,2,2
487,6.30,487,0.01,0,90000000000,0,0,2,2
